track,artist
Behem Begu,"Navid, Bamdad"
Setaarehaa,"Rez, Navid"
Khata,Navid
Kaftar Bazi,Gdaal
Yadam Toro Faramush,"Gdaal, The Don"
Masti o Saaghi,Mc Tes
Kooche,Mc Tes
Lonely Day,System Of A Down
Mard-e Tanha,Farhad Mehrad
Jomeh,Farhad Mehrad
Koodakaneh,Farhad Mehrad
Najva,Farhad Mehrad
Ayeneha (Maskh),Farhad Mehrad
Ranandegi dar Masti,Shahin Najafi
Nothin' But A Good Time,Poison
Daroon,Mc Tes
Popular Monster,Falling In Reverse
I Am Machine,Three Days Grace
Nightmare,Avenged Sevenfold
Lonely Day,System Of A Down
Numb,Linkin Park
I Stand Alone,Godsmack
A Little Bit Off,Five Finger Death Punch
Bad Company,Five Finger Death Punch
Comeback,Out of Nowhere
The Way of the Fist,Five Finger Death Punch
Rock You Like A Hurricane,Scorpions
The Fight Song,Marilyn Manson
Tainted Love,Marilyn Manson
The Beautiful People,Marilyn Manson
Sweet Dreams (Are Made Of This),Marilyn Manson
Ta Abad,Az Shanbe
Man Raftam,Az Shanbe
Hichi Namoond Azam,Az Shanbe
Chi Shod,Az Shanbe
Khodamo Pas Migiram,Az Shanbe
Wait and Bleed,Slipknot
Before I Forget,Slipknot
Custer,Slipknot
Psychosocial,Slipknot
Duality,Slipknot
I'm Broken,Pantera
Domination,Pantera
Cemetery Gates,Pantera
Cowboys from Hell,Pantera
Walk,Pantera
L'enfant sauvage,Gojira
Silvera,Gojira
Flying Whales,Gojira
Stranded,Gojira
Raftam Ã‰tude,Kourosh zz
Akharin Omid,Az Shanbe
Har Ghadam,Az Shanbe
Baraye,Shervin Hajipour
209,Shahin Najafi
Sade,Shahin Najafi
Aram,Shahin Najafi
Beshmar,Shahin Najafi
Ninoush,Shahin Najafi
Power Trip (feat. Miguel),"J. Cole, Miguel"
Falaki,Ben
Panjereh,Narwhal
Sookhteh,Narwhal
Paeez,Narwhal
In My Time of Need,Opeth
Booseye Yahooda,Ali Sorena
